date,description,amount,bai_code,account,txnid
2026-09-04,ACH PAYMENT TO VENDOR ACCOUNTS PAYABLE INV 88213,-18250.00,455,Operating,OP-1001
2026-09-04,EFTPS TAX PYMT 941 FEDERAL WITHHOLDING,-42100.00,455,Operating,OP-1002
2026-09-04,OUTGOING WIRE PROPERTY ACQUISITION MAPLE HOLDINGS LLC,-350000.00,495,Operating,OP-1003
2026-09-05,ACH DEBIT AMEX CORPORATE CARD AUTOPAY STMT AUG,-15320.45,455,Operating,OP-1004
2026-09-05,OUTGOING WIRE TERM LOAN LOANPMT REF 4471,-28750.00,495,Operating,OP-1005
2026-09-05,LOCKBOX DEPOSIT BATCH 5567 CUSTOMER RECEIPTS,92450.00,115,Operating,OP-1006
2026-09-06,ACH DEBIT PAYROLL DISBURSEMENT PERIOD 18,-88600.00,455,Payroll,PR-2001
2026-09-06,CHECK PAID 10482 EMPLOYEE EXPENSE REIMBURSEMENT,-1240.00,475,Payroll,PR-2002
2026-09-06,MISCELLANEOUS FEE MONTHLY ACCOUNT ANALYSIS,-215.00,698,Operating,OP-1007
2026-09-06,INCOMING WIRE CUSTOMER SETTLEMENT ACME CORP,175000.00,195,Operating,OP-1008
2026-09-07,FEDWIRE DEBIT ADVISORY RETAINER Q3,-9000.00,275,Operating,OP-1009
2026-09-07,COUNTY TAX COLLECTOR PROPERTY TAX PARCEL 22-19-004,-13400.00,275,Operating,OP-1010
2026-09-07,SWEEP TO OVERNIGHT INVESTMENT MMKT,-500000.00,495,Investment Sweep,IS-3001
2026-09-08,DISBURSEMENT TO TITLE COMPANY CLOSING 44 ELM ST,-22000.00,455,Property Escrow,PE-4001
2026-09-08,INTEREST CREDIT MONEY MARKET AUGUST,1875.32,165,Operating,OP-1011
2026-09-08,VENDOR PMT MISC OFFICE SUPPLIES,-640.00,165,Operating,OP-1012
2026-09-08,MISC DEBIT ADJUSTMENT REF 90021,-815.00,399,Operating,OP-1013
2026-09-09,RETURNED ITEM CHARGEBACK DDA,-1250.00,555,Operating,OP-1014
2026-09-09,DEPOSIT CORRECTION TELLER BATCH,300.00,108,Money Market,MM-5001
